episode,win%_vs_random,mbb/g_vs_random,se_vs_random,win%_vs_rulebased,mbb/g_vs_rulebased,se_vs_rulebased
0,0.1150,-577.50,32.12,0.4100,-132.50,39.07
500,0.8450,19290.00,4260.23,0.9300,-4892.50,1791.96
