episode,win%_vs_random,mbb/g_vs_random,se_vs_random,win%_vs_rulebased,mbb/g_vs_rulebased,se_vs_rulebased
0,0.1500,-510.00,36.31,0.4250,-85.00,41.35
500,0.8500,18130.00,4054.21,0.9400,120.00,2095.32
