episode,win%_vs_random,mbb/g_vs_random,se_vs_random,win%_vs_rulebased,mbb/g_vs_rulebased,se_vs_rulebased
0,0.1850,-467.50,37.19,0.4300,-87.50,40.17
500,0.8400,18072.50,4408.79,0.9050,-3437.50,2339.49
