episode,win%_vs_random,mbb/g_vs_random,se_vs_random,win%_vs_rulebased,mbb/g_vs_rulebased,se_vs_rulebased
0,0.1750,-485.00,36.30,0.4400,-72.50,39.85
500,0.8850,18597.50,4005.04,0.9200,-2345.00,2125.01
