mode,eps_min,alpha_min,weight
absorption,0.0189,0.001190,1
absorption,0.3033,0.024897,1
absorption,1.1385,0.071637,1
absorption,0.5980,0.037624,2
absorption,3.9308,0.506114,2
absorption,0.2132,0.014845,3
absorption,1.2030,0.154893,3
absorption,1.2432,0.106095,2
absorption,0.8269,0.106473,6
absorption,2.0169,0.259693,5
absorption,2.1448,0.094320,1
absorption,0.7608,0.064926,2
absorption,1.1096,0.094693,5
absorption,0.2199,0.018765,4
absorption,1.1162,0.143722,4
absorption,1.3485,0.093888,1
absorption,1.2779,0.109062,6
absorption,1.3763,0.117458,1
absorption,0.9810,0.126317,5
absorption,0.5437,0.037856,1
absorption,1.5412,0.198442,3
absorption,0.0972,0.008292,5
absorption,0.7948,0.067831,3
absorption,4.3805,0.564019,4
absorption,2.3582,0.164182,5
absorption,14.1608,1.823307,7
absorption,2.4137,0.310786,3
absorption,0.2720,0.018935,5
absorption,0.4398,0.030622,1
absorption,2.7555,0.191847,2
absorption,1.0560,0.135970,5
absorption,1.0491,0.089535,2
absorption,0.8601,0.110738,4
absorption,0.3747,0.026091,3
absorption,1.1342,0.049877,4
absorption,5.0058,0.644539,8
absorption,2.0356,0.141722,5
absorption,0.7334,0.062588,2
absorption,0.3176,0.040894,3
absorption,0.6380,0.044416,1
absorption,1.7279,0.222482,4
absorption,0.5897,0.050326,4
absorption,1.7599,0.226603,6
absorption,2.0580,0.175631,8
absorption,1.8986,0.162033,3
absorption,1.1528,0.080264,1
absorption,0.4410,0.030703,1
absorption,3.4699,0.152592,3
absorption,4.0378,0.519900,1
absorption,1.3913,0.096869,2
absorption,2.5369,0.216505,1
absorption,1.1154,0.095187,2
absorption,15.9081,2.048278,4
absorption,6.4984,0.836722,3
absorption,0.2819,0.024062,7
absorption,0.4422,0.056936,3
absorption,1.5545,0.132665,6
absorption,4.6546,0.599308,4
absorption,1.5515,0.132405,4
absorption,2.3656,0.201888,1
absorption,2.9371,0.250660,4
absorption,0.7562,0.064538,3
absorption,2.6051,0.222319,3
absorption,0.5528,0.038485,2
absorption,2.2042,0.096930,1
absorption,1.7701,0.151060,2
absorption,0.3444,0.029391,2
absorption,1.0892,0.075836,3
absorption,1.1034,0.094166,1
absorption,2.6285,0.224317,3
absorption,0.2078,0.026759,2
absorption,3.0201,0.388854,5
absorption,0.1113,0.007746,1
absorption,5.4286,0.698967,2
absorption,0.3392,0.028951,1
absorption,0.2417,0.016829,2
absorption,0.9883,0.084342,1
absorption,1.6559,0.072820,1
absorption,0.8743,0.074610,3
absorption,1.4837,0.126618,2
absorption,0.4224,0.018574,2
absorption,0.1261,0.005547,1
absorption,1.2133,0.084474,2
absorption,0.1689,0.011758,1
absorption,1.1804,0.151989,2
absorption,0.2862,0.024421,1
absorption,0.4854,0.021345,2
absorption,2.3774,0.202895,1
absorption,0.9050,0.116527,2
absorption,0.6507,0.055531,1
absorption,0.5371,0.045841,3
absorption,1.4041,0.097756,1
absorption,3.3475,0.344126,6
absorption,2.1535,0.184290,7
absorption,2.0073,0.206348,6
absorption,2.0147,0.172409,3
absorption,0.0512,0.004378,2
absorption,2.1929,0.225427,3
absorption,1.2958,0.110891,3
absorption,2.7394,0.191207,1
absorption,0.4250,0.036370,2
absorption,5.9627,0.612973,6
absorption,1.0137,0.070755,3
absorption,0.5170,0.053144,3
absorption,1.9898,0.204550,7
absorption,0.0726,0.005070,1
absorption,10.0406,1.032182,4
absorption,0.0072,0.000613,7
absorption,0.2712,0.027876,4
absorption,6.7461,0.693504,3
absorption,1.8068,0.154618,8
absorption,0.7811,0.066848,5
absorption,1.1925,0.102054,3
absorption,8.3485,0.858233,3
absorption,2.1306,0.148715,1
absorption,2.4686,0.211259,6
absorption,2.3590,0.201877,1
absorption,2.3823,0.244901,4
absorption,0.6326,0.054136,1
absorption,1.8735,0.130766,3
absorption,0.9007,0.092596,2
