mode,eps_min,alpha_min,weight
absorption,1.5489,0.078697,2
absorption,1.0565,0.053680,2
absorption,1.1664,0.059265,4
absorption,0.5296,0.026908,7
absorption,1.5041,0.076421,4
absorption,1.4903,0.075722,3
absorption,1.3140,0.046137,2
absorption,3.4177,0.095086,3
absorption,3.5571,0.098962,1
absorption,0.3707,0.017618,4
absorption,2.3135,0.066752,4
absorption,0.6472,0.030755,2
absorption,1.4897,0.042983,1
absorption,0.6053,0.031784,4
absorption,2.4440,0.082049,5
absorption,1.4723,0.077303,3
absorption,5.1917,0.272594,2
absorption,1.7229,0.090460,3
absorption,1.1373,0.059714,1
absorption,2.4665,0.075222,4
absorption,1.5759,0.048061,3
