mode,eps_min,alpha_min,weight
absorption,9.2276,1.135218,16
absorption,1.0418,0.110559,5
absorption,4.0324,0.427948,6
absorption,0.6744,0.037596,4
absorption,1.0389,0.110254,14
absorption,0.0580,0.006151,3
absorption,1.3904,0.147565,9
absorption,7.2374,0.890384,12
absorption,0.4803,0.048774,10
absorption,4.4148,0.543134,12
absorption,2.1523,0.228417,7
absorption,2.0304,0.249786,10
absorption,1.0210,0.108353,5
absorption,0.2956,0.016480,1
absorption,4.9240,0.605775,12
absorption,1.9122,0.202939,6
absorption,0.7462,0.079196,11
absorption,1.6071,0.163210,3
absorption,0.5966,0.060589,9
absorption,2.4978,0.307288,15
absorption,0.8740,0.092757,8
absorption,0.1954,0.019848,5
absorption,3.6083,0.443905,11
absorption,1.2875,0.071767,1
absorption,0.1208,0.012819,5
absorption,0.5526,0.056114,8
absorption,1.5134,0.153697,3
absorption,10.8696,1.337230,8
absorption,0.2435,0.029959,11
absorption,4.6942,0.476718,4
absorption,0.1868,0.018974,1
absorption,1.9428,0.239014,7
absorption,0.7404,0.078576,18
absorption,0.1347,0.014293,10
absorption,1.6471,0.174803,9
absorption,0.8414,0.089293,10
absorption,14.1286,1.738169,7
absorption,2.1191,0.215207,2
absorption,0.1135,0.012044,4
absorption,0.6607,0.070124,2
absorption,0.8446,0.085776,2
absorption,0.2874,0.030497,1
absorption,1.1330,0.120240,9
absorption,0.1497,0.015884,6
absorption,1.7782,0.188720,3
absorption,0.8505,0.086374,5
absorption,0.1102,0.011694,3
absorption,1.8420,0.102680,2
absorption,0.2375,0.013239,2
absorption,0.8037,0.107924,12
absorption,0.3062,0.031790,13
absorption,1.7829,0.239399,12
absorption,0.4837,0.041828,4
absorption,1.2692,0.131752,10
absorption,0.8838,0.091743,16
absorption,1.4952,0.200772,10
absorption,2.1905,0.189417,4
absorption,2.1288,0.285843,14
absorption,4.1887,0.562441,16
absorption,1.5197,0.157757,7
absorption,0.6113,0.063453,6
absorption,2.2856,0.306900,14
absorption,0.0517,0.005362,7
absorption,3.4201,0.459241,9
absorption,1.0712,0.068319,3
absorption,0.7004,0.060569,7
absorption,0.1230,0.012767,3
absorption,0.4283,0.044457,2
absorption,0.3993,0.053614,7
absorption,6.0290,0.809546,4
absorption,1.2998,0.112392,3
absorption,1.7919,0.186009,5
absorption,2.2252,0.230984,3
absorption,2.5388,0.340894,10
absorption,1.5158,0.157346,11
absorption,0.5267,0.054678,8
absorption,0.5653,0.048887,10
absorption,1.7950,0.241024,9
absorption,0.9408,0.126328,13
absorption,0.2028,0.017536,3
absorption,1.2369,0.128392,13
absorption,2.6903,0.232634,6
absorption,0.1199,0.012450,4
absorption,0.4981,0.043070,4
absorption,0.9937,0.085930,2
absorption,1.1390,0.152939,6
absorption,0.3092,0.026739,1
