mode,eps_min,alpha_min,weight
absorption,0.6693,0.059991,3
absorption,1.6228,0.145449,3
absorption,0.5641,0.130033,5
absorption,2.0637,0.184963,5
absorption,0.4390,0.039346,2
absorption,0.2944,0.067871,4
absorption,0.8379,0.193146,7
absorption,2.1272,0.190654,1
absorption,4.1480,0.371770,3
absorption,1.3938,0.124925,3
absorption,1.9612,0.452072,3
absorption,0.5549,0.026209,1
absorption,1.1900,0.274302,6
absorption,1.0677,0.095692,5
absorption,0.1956,0.045077,6
absorption,0.9767,0.225132,8
absorption,0.0167,0.003859,5
absorption,0.5455,0.125746,3
absorption,1.4915,0.343789,2
absorption,0.1392,0.012472,7
absorption,6.5657,1.513404,6
absorption,0.8631,0.077358,6
absorption,0.5670,0.050816,5
absorption,0.2101,0.048417,5
absorption,0.7042,0.162320,6
absorption,0.4895,0.112828,1
absorption,1.3610,0.313716,4
absorption,2.4120,0.216178,4
absorption,1.8456,0.425417,4
absorption,1.0180,0.234660,3
absorption,1.7025,0.152588,1
absorption,0.6412,0.147807,2
absorption,0.2541,0.058571,3
absorption,1.3358,0.307914,2
absorption,1.2607,0.290600,5
absorption,1.3696,0.122750,1
absorption,0.9953,0.229428,5
absorption,1.6382,0.377619,4
absorption,2.7122,0.173184,1
absorption,3.2722,0.754244,5
absorption,1.6738,0.150020,3
absorption,1.5275,0.136903,4
absorption,0.6629,0.059414,1
absorption,0.8583,0.076931,2
absorption,1.1531,0.265801,3
absorption,2.6492,0.125127,1
absorption,1.8395,0.086884,1
absorption,0.8626,0.198823,2
absorption,0.6954,0.032847,1
absorption,0.0325,0.002072,2
absorption,0.1039,0.004906,1
absorption,0.4223,0.026965,2
absorption,0.7884,0.181722,1
absorption,1.9027,0.170535,1
absorption,1.4014,0.125608,1
absorption,0.0866,0.004090,1
absorption,2.1023,0.188420,1
absorption,0.9583,0.174999,5
absorption,1.0464,0.094621,3
absorption,1.4264,0.128979,2
absorption,1.6382,0.299151,6
absorption,1.7639,0.159493,5
absorption,0.8323,0.075256,2
absorption,2.0454,0.184948,2
absorption,2.2833,0.416938,7
absorption,0.6535,0.119340,6
absorption,2.6713,0.487798,4
absorption,2.1926,0.400381,4
absorption,2.7103,0.245072,8
absorption,2.5027,0.457000,7
absorption,1.9047,0.172224,3
absorption,0.4285,0.078254,2
absorption,2.9377,0.536439,4
absorption,0.8415,0.153662,3
absorption,1.0393,0.189776,3
absorption,3.5535,0.648883,3
absorption,1.1659,0.212899,3
absorption,3.5724,0.208229,1
absorption,0.0364,0.006650,8
absorption,0.1523,0.027820,5
absorption,0.6519,0.119040,7
absorption,0.8411,0.153593,5
absorption,1.0237,0.092562,7
absorption,1.1180,0.204157,3
absorption,2.2368,0.202251,1
absorption,1.4917,0.272391,4
absorption,0.4967,0.090703,1
absorption,2.0010,0.180931,4
absorption,1.8238,0.164909,1
absorption,1.4661,0.132566,4
absorption,0.9489,0.042768,1
absorption,0.5659,0.051169,2
absorption,2.8842,0.526668,5
absorption,1.9924,0.116133,3
absorption,0.2260,0.041273,5
absorption,0.1137,0.005125,1
absorption,2.9449,0.537749,4
absorption,2.2629,0.204613,2
absorption,1.2588,0.113819,3
absorption,2.9713,0.542578,3
absorption,0.2684,0.024268,2
absorption,1.4290,0.064405,1
absorption,0.3745,0.033866,1
absorption,1.2187,0.054929,1
absorption,0.9162,0.167306,2
absorption,0.8645,0.157863,3
absorption,0.3437,0.031081,1
absorption,0.8073,0.072996,1
absorption,0.4698,0.042483,2
absorption,3.7555,0.218900,1
absorption,3.3930,0.197768,2
absorption,2.1696,0.126464,1
absorption,2.6483,0.239466,1
absorption,0.6605,0.059722,5
absorption,0.7362,0.033183,1
absorption,0.7856,0.045792,2
absorption,3.7907,0.220949,2
absorption,1.0823,0.097868,1
absorption,1.4203,0.082788,1
absorption,0.3496,0.015756,1
absorption,1.1304,0.110027,6
absorption,0.2536,0.055763,4
absorption,0.1904,0.041864,5
absorption,0.9252,0.203442,4
absorption,0.4727,0.046006,3
absorption,0.5495,0.053487,1
absorption,0.9995,0.219787,3
absorption,0.8494,0.082673,2
absorption,1.1350,0.110471,3
absorption,1.8861,0.183576,2
absorption,0.1234,0.027132,2
absorption,1.2256,0.269496,1
absorption,1.9620,0.431425,2
absorption,0.8031,0.176596,7
absorption,1.6078,0.117246,2
absorption,0.5526,0.053785,7
absorption,1.4460,0.317962,7
absorption,0.4821,0.106008,1
absorption,0.2617,0.057544,5
absorption,2.4864,0.242008,3
absorption,1.0018,0.097507,5
absorption,0.3246,0.071371,7
absorption,1.4057,0.136822,4
absorption,2.1737,0.211567,4
absorption,1.6155,0.157235,1
absorption,2.5813,0.567603,2
absorption,2.7612,0.201361,3
absorption,4.2662,0.938122,3
absorption,0.6787,0.066060,4
absorption,2.3757,0.231227,2
absorption,1.7932,0.174536,4
absorption,1.9819,0.192901,1
absorption,0.5777,0.127037,1
absorption,0.0723,0.003844,2
absorption,0.3182,0.030971,2
absorption,0.6950,0.067650,4
absorption,0.5090,0.049538,4
absorption,0.2598,0.057128,3
absorption,1.2741,0.092915,2
absorption,0.4950,0.026329,1
absorption,0.9472,0.208284,3
absorption,1.0684,0.077913,2
absorption,1.1967,0.087271,1
absorption,1.1054,0.080614,1
absorption,0.3773,0.027511,1
absorption,3.1686,0.231069,1
absorption,1.5258,0.148509,1
absorption,1.4911,0.264784,6
absorption,1.3319,0.119715,5
absorption,0.8136,0.144464,4
absorption,2.0461,0.183911,2
absorption,1.4697,0.132100,2
absorption,2.6375,0.468350,3
absorption,0.2678,0.024073,9
absorption,2.5914,0.460167,6
absorption,1.9104,0.339231,5
absorption,0.6568,0.116631,2
absorption,0.2416,0.021716,2
absorption,10.2563,1.821230,5
absorption,1.8364,0.326085,7
absorption,1.6600,0.294764,2
absorption,0.4717,0.042401,3
absorption,12.8146,2.275519,4
absorption,0.5199,0.046728,3
absorption,1.1890,0.211142,4
absorption,0.5041,0.089517,8
absorption,0.1155,0.020504,5
absorption,1.6243,0.146002,5
absorption,1.5566,0.139912,5
absorption,1.7075,0.153475,4
absorption,2.8516,0.173157,1
absorption,2.6410,0.468969,6
absorption,0.2747,0.048785,3
absorption,2.1416,0.192492,2
absorption,1.3392,0.120368,5
absorption,2.5628,0.230358,3
absorption,0.7502,0.133220,2
absorption,0.9614,0.047955,1
absorption,1.6957,0.301107,2
absorption,0.1993,0.035394,2
absorption,1.2765,0.226675,5
absorption,0.6290,0.111701,2
absorption,1.3018,0.231167,6
absorption,0.1365,0.006807,1
absorption,1.1475,0.203756,5
absorption,0.4751,0.042703,3
absorption,1.4285,0.253665,3
absorption,1.2097,0.108729,2
absorption,0.6407,0.113778,5
absorption,3.5854,0.217712,1
absorption,1.7354,0.308161,2
absorption,0.4764,0.042822,3
absorption,0.2386,0.011903,1
absorption,1.4395,0.129390,3
absorption,0.0129,0.000643,1
absorption,0.2484,0.012392,1
absorption,1.2939,0.229768,2
absorption,0.9165,0.082379,2
absorption,0.8209,0.049845,1
absorption,1.8882,0.114658,2
absorption,1.3919,0.069427,1
absorption,0.6460,0.032223,1
absorption,1.9990,0.179674,1
absorption,3.2966,0.200176,1
absorption,0.5786,0.028861,1
absorption,0.7078,0.123200,5
absorption,0.8288,0.144268,7
absorption,0.8201,0.142758,4
absorption,6.3579,1.106673,2
absorption,4.8869,0.850633,6
absorption,3.4186,0.595047,5
absorption,2.5833,0.449654,1
absorption,2.4830,0.216190,5
absorption,0.5046,0.087836,3
absorption,1.4271,0.124250,10
absorption,1.3054,0.227225,7
absorption,2.4082,0.209671,4
absorption,1.5936,0.277387,4
absorption,0.0930,0.008094,5
absorption,0.8079,0.140633,4
absorption,0.9004,0.156735,7
absorption,0.3846,0.033484,1
absorption,6.1178,1.064882,5
absorption,1.4985,0.260828,4
absorption,0.6409,0.055799,6
absorption,1.5457,0.134583,7
absorption,1.4308,0.124578,3
absorption,0.3171,0.027610,6
absorption,3.9020,0.679201,5
absorption,1.0083,0.175512,3
absorption,1.4482,0.126092,11
absorption,1.9310,0.124294,2
absorption,2.3019,0.200416,2
absorption,2.7727,0.482619,5
absorption,2.1576,0.375560,7
absorption,2.7265,0.175496,1
absorption,1.9584,0.170512,4
absorption,2.1858,0.190307,3
absorption,0.7838,0.136429,2
absorption,3.8696,0.673556,5
absorption,1.5561,0.135487,1
absorption,1.9273,0.124055,1
absorption,0.5679,0.049443,2
absorption,1.9182,0.167011,4
absorption,0.9964,0.173429,3
absorption,7.6397,0.491753,2
absorption,2.1669,0.188670,1
absorption,0.7587,0.037077,2
absorption,1.3283,0.115648,1
absorption,3.1753,0.204387,2
absorption,1.6921,0.147329,2
absorption,1.3111,0.114157,2
absorption,0.2071,0.036053,5
absorption,2.8512,0.248248,3
absorption,2.0099,0.174995,2
absorption,1.4672,0.071701,2
absorption,0.1153,0.005637,1
absorption,1.4465,0.125943,1
absorption,1.3774,0.119926,2
absorption,0.5507,0.035446,1
absorption,0.8943,0.155673,1
absorption,3.3239,0.162437,1
absorption,2.0967,0.182553,5
absorption,0.9661,0.084117,2
absorption,1.6703,0.145429,2
absorption,1.3189,0.229576,2
absorption,1.6912,0.294372,3
absorption,0.4594,0.040000,2
absorption,3.3267,0.162573,1
