platform,basis,zero_dom_pct
legacy8-A8,off,94.53360080240722
k20-A8,off,6.051500161804817
k20-A12,off,5.8453279029944
k50-A12,off,6.104195481788842
k20-A12-CFR,off,93.67820910539113
k50-A12-CFR,off,95.13531742686115
