mode,eps_min,alpha_min,weight
absorption,1.9168,0.097391,2
absorption,9.5399,0.484722,4
absorption,11.2340,0.394451,3
absorption,2.3989,0.121886,3
absorption,6.4811,0.227568,2
absorption,2.3893,0.121401,2
absorption,1.3436,0.068270,2
absorption,1.4743,0.074909,4
absorption,0.6941,0.035266,7
absorption,2.4796,0.125989,3
absorption,3.3140,0.168385,2
absorption,3.3846,0.171973,3
absorption,1.8659,0.094807,4
absorption,1.8502,0.094011,3
absorption,3.8361,0.194914,1
absorption,1.6775,0.058900,2
absorption,2.8986,0.147277,1
absorption,3.6695,0.171805,3
absorption,4.4486,0.208287,2
absorption,4.6083,0.215765,4
absorption,3.1385,0.146945,2
absorption,3.3937,0.158894,2
absorption,4.7369,0.221785,4
absorption,3.5380,0.165648,5
absorption,1.5489,0.072522,3
absorption,0.8031,0.037602,2
absorption,3.4323,0.160701,3
absorption,3.6460,0.170708,1
absorption,6.7536,0.316207,5
absorption,2.0369,0.095367,5
absorption,6.7626,0.188143,4
absorption,2.7369,0.128141,1
absorption,4.0687,0.113195,3
absorption,4.2193,0.117386,1
absorption,4.7472,0.222264,1
absorption,2.5312,0.120286,3
absorption,4.4744,0.212630,2
absorption,0.4912,0.023343,4
absorption,2.8421,0.082003,4
absorption,4.5938,0.218308,4
absorption,4.2247,0.200766,3
absorption,14.8346,0.704971,3
absorption,3.6814,0.174949,2
absorption,3.0946,0.147061,5
absorption,4.5180,0.214703,3
absorption,3.2926,0.156472,2
absorption,3.5538,0.168883,3
absorption,3.9623,0.188298,2
absorption,2.5580,0.121563,3
absorption,9.3743,0.445486,2
absorption,0.8447,0.040140,2
absorption,2.7913,0.132649,4
absorption,10.2285,0.486080,3
absorption,1.8738,0.054065,1
absorption,4.0584,0.192862,1
absorption,4.3637,0.229122,3
absorption,0.8101,0.042535,4
absorption,2.9825,0.100125,5
absorption,3.9952,0.209773,4
absorption,4.9435,0.165959,2
absorption,6.6457,0.223104,3
absorption,1.8630,0.097817,3
absorption,3.7380,0.196270,4
absorption,5.3290,0.279803,2
absorption,4.1538,0.218099,4
absorption,3.5794,0.187938,3
absorption,7.7791,0.408447,1
absorption,2.1463,0.112694,3
absorption,10.0487,0.527617,4
absorption,2.6185,0.137485,1
absorption,3.4155,0.179335,5
absorption,5.3814,0.180660,3
absorption,3.4878,0.183130,4
absorption,6.1999,0.325530,3
absorption,11.5463,0.606252,1
absorption,1.4700,0.077183,1
absorption,2.6611,0.133346,3
absorption,1.7527,0.087826,2
absorption,6.6915,0.204073,5
absorption,3.2836,0.164536,6
absorption,3.0054,0.091659,4
absorption,1.0155,0.050885,4
absorption,2.8192,0.141269,3
absorption,3.3003,0.165376,3
absorption,4.0171,0.201294,3
absorption,2.9872,0.149686,2
absorption,3.4765,0.174203,4
absorption,2.1227,0.106367,3
absorption,3.7177,0.186289,3
absorption,3.3158,0.166153,4
absorption,3.2080,0.160748,2
absorption,4.3957,0.220261,2
absorption,2.1596,0.108214,6
absorption,4.4157,0.221267,4
absorption,1.9724,0.060152,3
absorption,3.4613,0.173440,1
masking,1.2741,0.127544,5
masking,10.8796,0.509387,5
