platform,absorption_F1,absorption_F20,absorption_F5,absorption_F60,absorption_Fa10,absorption_Fa15,absorption_Fa30,absorption_Fa5,absorption_alpha_med,absorption_eps_med,basis,combined_eps_med,masking_F1,masking_F20,masking_F5,masking_F60,masking_Fa10,masking_Fa15,masking_Fa30,masking_Fa5,masking_alpha_med,masking_eps_med
legacy8-A8,0.032520325203252036,1.0,0.7357723577235772,1.0,0.08943089430894309,0.11382113821138211,0.7439024390243902,0.032520325203252036,0.20972655951635627,3.776819674726619,chec,3.776819674726619,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24651295737141257,0.8649672711292076
k20-A8,0.06666666666666667,1.0,0.8315789473684211,1.0,0.23157894736842105,0.43157894736842106,0.8982456140350877,0.06666666666666667,0.16564837532694351,3.3936936007396237,chec,3.3936936007396237,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.12754401442255248,1.2741485592693471
k20-A12,0.07973421926910298,1.0,0.7375415282392026,1.0,0.4717607973421927,0.8338870431893688,1.0,0.15614617940199335,0.10074736428794259,3.8389256869719017,chec,3.8389256869719017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
k50-A12,0.07028753993610223,1.0,0.670926517571885,1.0,0.3801916932907348,0.7220447284345048,0.9904153354632588,0.15654952076677317,0.11581432407554619,4.1967824201913615,chec,4.142727380769065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01861058373627183,0.3211449522027197
k20-A12-CFR,0.4106602059357965,1.0,0.9364021804966687,1.0,0.40096910963052695,0.5669291338582677,0.789824348879467,0.18655360387643852,0.1317518618248128,1.1933201208920117,chec,1.2072037620066873,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15767003581135358,1.5189067150937159
k50-A12-CFR,0.34825543120473995,1.0,0.9387755102040817,1.0,0.38117182356813695,0.5595786701777485,0.8327847267939433,0.1902567478604345,0.13240457014553303,1.4229667411504536,chec,1.4229667411504536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
