mode,eps_min,alpha_min,weight
absorption,0.6747,0.031587,19
absorption,3.9803,0.186333,7
absorption,2.3495,0.136007,8
absorption,2.9729,0.172090,8
absorption,0.7412,0.026362,7
absorption,3.1647,0.111866,7
absorption,2.7943,0.142273,14
absorption,0.4647,0.023661,7
