cond,vsRand_mean,vsRand_sd,vsRand_pos,vsTAG_mean,vsTAG_sd,vsTAG_pos,vsLAG_mean,vsLAG_sd,vsLAG_pos,vsMAN_mean,vsMAN_sd,vsMAN_pos,vsSTA_mean,vsSTA_sd,vsSTA_pos,vsNIT_mean,vsNIT_sd,vsNIT_pos
chec_a400,1152.2,826.9,5,882.3,25.2,5,744.0,82.2,5,598.9,385.0,4,-3184.9,192.9,0,741.6,7.0,5
chec_a800,892.4,532.8,5,867.1,20.9,5,690.1,94.5,5,343.6,447.8,4,-3272.3,133.3,0,741.7,4.0,5
