alpha_f_min,weight
0.419053,148
0.087668,423
0.097722,478
0.068820,410
0.642341,312
0.022397,310
0.142609,374
0.094328,432
0.013996,415
0.049900,226
0.059351,351
0.121887,494
0.542195,2332
2.550441,2347
1.591076,2203
4.484798,2257
0.131779,2351
1.445854,2315
3.430245,4212
0.882802,2206
15.204454,1873
0.126889,2367
0.270584,1995
2.375992,2222
0.715758,2202
0.285632,2055
0.725700,1816
0.416884,2018
0.229572,1934
1.917090,1830
0.625652,1843
34.983282,958
42.381665,834
15.925433,615
1.262474,5665
0.717658,4586
1.787364,5423
6.815547,4653
0.568744,4559
1.318612,4520
0.946506,4442
2.625611,3540
0.966786,4537
0.583659,4043
3.413565,4457
1.853062,4262
0.985336,4309
0.588508,4402
1.154367,3885
0.843854,4205
0.495660,3667
0.389734,3403
0.161324,2339
0.293882,1590
1.246955,2019
1.591476,1386
0.862911,1209
0.514663,1532
26.897192,1441
4.134688,1166
0.743365,1654
2.100600,1147
3.067586,1124
4.436988,326
0.729983,1366
2.991182,1428
1.437311,1401
0.647942,1442
1.047623,1186
0.298045,1135
9.114447,1474
1.486101,1160
1.034220,1181
0.622170,1177
2.157792,1116
1.543979,1045
0.821051,1186
0.108258,915
11.836125,2918
0.879921,2843
1.812808,2978
3.066816,2815
2.617009,2993
0.767733,2913
1.275105,2639
10.045168,3170
1.803410,2665
13.158239,2438
2.418064,2766
2.339675,2714
2.398670,2433
2.526972,2260
10.408125,2589
1.275960,639
0.617443,318
0.469394,235
0.083173,77
0.032879,54
1.992398,200
1.238911,157
1.435153,186
7.753250,198
2.140280,232
1.482140,195
1.733209,226
2.015350,198
0.788320,190
1.011725,184
3.415272,179
1.766612,183
0.958042,217
1.296190,199
0.662370,207
1.354386,157
