kind,tercile,cells,weight
FOLD→지속,약패,19,85444
FOLD→지속,중간,17,118685
FOLD→지속,강패,11,262367
불변(FOLD),약패,270,6756495
불변(FOLD),중간,269,6482783
불변(FOLD),강패,201,4691320
불변(지속),약패,30,12909
불변(지속),중간,44,18130
불변(지속),강패,50,55943
지속→FOLD,약패,31,495626
지속→FOLD,중간,20,583181
지속→FOLD,강패,38,816793
