episode,win%_vs_random,mbb/g_vs_random,se_vs_random,win%_vs_rulebased,mbb/g_vs_rulebased,se_vs_rulebased
0,0.1750,-475.00,37.13,0.4000,-122.50,41.26
1000,0.8100,10607.50,4171.04,0.9100,-3112.50,1814.80
2000,0.6100,7567.50,3848.14,0.8950,-3567.50,1591.68
