episode,win%_vs_random,mbb/g_vs_random,se_vs_random,win%_vs_rulebased,mbb/g_vs_rulebased,se_vs_rulebased
0,0.1200,-565.00,33.50,0.3950,-135.00,41.59
1000,0.6750,4022.50,3515.97,0.9000,-2610.00,1617.40
